Einsatzort	PLZ	Qualifikation	Qualifikationgruppe	Schicht	Tag	Wochentag	Feiertag	Mitarbeiter ID
1936	92.0	91	2.0	2	2018-02-22	Thu	False	[28255 28962 30080 31341 31963 33222]
334	102.0	74	2.0	2	2016-08-30	Tue	False	[18915]
1986	160.0	25	2.0	1	2018-04-25	Wed	False	[34100]
1282	109.0	191	2.0	2	2018-11-05	Mon	False	[32166]
2391	92.0	148	2.0	2	2019-03-20	Wed	False	[39169]
331	126.0	108	2.0	2	2019-04-08	Mon	False	[38260 38821 41688]
930	88.0	25	2.0	2	2018-11-27	Tue	False	[32118 32603 37361 39652 39805]
2529	15.0	34	11.0	2	2018-06-23	Sat	False	[29857]
632	63.0	164	2.0	1	2019-01-02	Wed	False	[37564 37020 33350 32837 40180]
1254	92.0	205	2.0	2	2016-09-19	Mon	False	[19257 20679 16497 21183 20352]
1842	124.0	201	2.0	1	2017-09-20	Wed	False	[28750 24522]
1018	68.0	26	2.0	2	2014-11-14	Fri	False	[2297 6079 7751 8832]
1060	121.0	103	2.0	2	2020-06-04	Thu	False	[45076]
1839	92.0	148	2.0	2	2017-03-25	Sat	False	[22115 23583 27198]
468	92.0	123	2.0	2	2016-05-15	Sun	False	[13668 13747 15010 15492 16514 17813]
1213	160.0	103	2.0	1	2015-03-01	Sun	False	[11373]
2529	15.0	155	2.0	1	2020-03-10	Tue	False	[44234]
649	125.0	167	2.0	1	2018-12-03	Mon	False	[35230 32645 32628 34564 34105]
2471	102.0	205	2.0	1	2019-08-05	Mon	False	[43602 42547 43496]
2486	92.0	80	2.0	1	2015-10-21	Wed	False	[11124]
781	109.0	91	2.0	2	2014-11-09	Sun	False	[6815 9787 9714]
2503	131.0	201	2.0	2	2016-10-22	Sat	False	[22607 23974]
1559	109.0	82	10.0	2	2015-05-03	Sun	False	[7184]
1549	84.0	26	2.0	2	2020-03-04	Wed	False	[44177]
2097	92.0	26	2.0	2	2017-01-09	Mon	False	[19218 19405 20187 20263 20308 22295]
82	131.0	81	10.0	2	2017-06-11	Sun	False	[25888 26973]
334	102.0	91	2.0	0	2016-05-20	Fri	False	[16069 16404 17663 18186 18448 18824]
385	92.0	155	2.0	1	2018-10-17	Wed	False	[31838 34955 39023 35885]
2796	135.0	119	2.0	2	2016-02-16	Tue	False	[16461]
2581	27.0	143	10.0	2	2014-12-27	Sat	False	[7449]
1257	92.0	74	2.0	1	2020-01-19	Sun	False	[41201]
1000	98.0	74	2.0	2	2019-11-16	Sat	False	[39866 41771 46975]
1104	112.0	26	2.0	2	2017-12-16	Sat	False	[28463]
1747	160.0	167	2.0	2	2018-12-13	Thu	False	[37021]
774	160.0	81	10.0	1	2020-08-31	Mon	False	[46904 48528]
1523	41.0	82	10.0	1	2018-02-15	Thu	False	[30941 33840]
2182	72.0	44	2.0	2	2019-01-23	Wed	False	[35692]
1140	99.0	103	2.0	1	2020-11-27	Fri	False	[48720]
79	43.0	143	10.0	2	2015-02-24	Tue	False	[ 6969  7971 11270 11728]
318	126.0	143	10.0	1	2014-09-28	Sun	False	[7506 6974]
2083	125.0	148	2.0	1	2017-08-22	Tue	False	[26006]
2405	27.0	44	2.0	1	2015-06-22	Mon	False	[11046  8774  8245  7761]
2434	119.0	123	2.0	1	2015-07-24	Fri	False	[ 7581 10707 10955 13385]
1519	63.0	205	2.0	2	2019-10-08	Tue	False	[39861 42438]
2446	19.0	201	2.0	1	2013-10-01	Tue	False	[954]
82	131.0	91	2.0	1	2017-11-01	Wed	False	[27811 28446 31333]
1338	134.0	212	10.0	2	2017-07-06	Thu	False	[29074 29018 27857]
1936	92.0	44	2.0	2	2019-12-31	Tue	False	[47986]
1873	117.0	163	10.0	1	2019-11-15	Fri	False	[45220 39793]
782	112.0	133	2.0	2	2020-10-11	Sun	False	[48283]
2422	0.0	201	2.0	1	2017-06-16	Fri	False	[24840 25854]
788	124.0	147	2.0	2	2014-10-23	Thu	False	[3446]
2184	17.0	44	2.0	1	2019-12-13	Fri	False	[45576 40393 43073 47011 40216 42141]
1474	15.0	84	10.0	1	2020-08-27	Thu	False	[48918]
1839	92.0	0	2.0	2	2015-06-13	Sat	False	[6304 9573]
333	58.0	143	10.0	2	2018-04-18	Wed	False	[29993 30751 34434]
817	92.0	148	2.0	2	2014-01-18	Sat	False	[ 283 2497 2672 2882]
98	124.0	108	2.0	2	2018-11-30	Fri	False	[32804 39180 32184 37128 38688]
1565	19.0	123	2.0	1	2020-07-24	Fri	False	[45684 47837 49265]
2269	126.0	84	10.0	2	2017-08-07	Mon	False	[22682]
318	126.0	148	2.0	2	2020-08-29	Sat	False	[49082]
2529	15.0	169	2.0	2	2017-08-08	Tue	False	[29945]
1747	160.0	14	11.0	2	2020-04-03	Fri	False	[48570]
2207	68.0	123	2.0	2	2015-01-06	Tue	False	[6289 6531 8836 9141]
1683	123.0	212	10.0	2	2015-10-20	Tue	False	[14245]
765	43.0	155	2.0	2	2018-05-26	Sat	False	[35166]
57	43.0	25	2.0	1	2014-10-22	Wed	False	[7501 8349]
2269	126.0	25	2.0	2	2018-05-24	Thu	False	[29181 30001]
1865	92.0	115	10.0	2	2018-03-05	Mon	False	[33509 27979 33973 27861 32662]
2467	92.0	26	2.0	2	2015-09-17	Thu	False	[11822 14694 16383]
1595	65.0	25	2.0	2	2020-01-29	Wed	False	[45634 44961]
2348	43.0	123	2.0	2	2016-03-05	Sat	False	[13022 13907 15695 16339]
2467	92.0	123	2.0	2	2018-12-24	Mon	False	[35537 36517]
1301	19.0	103	2.0	1	2019-08-23	Fri	False	[45454]
2370	43.0	167	2.0	2	2019-12-26	Thu	True	[42114]
2050	126.0	84	10.0	2	2017-10-17	Tue	False	[25607 29314]
2184	17.0	205	2.0	2	2015-09-22	Tue	False	[14382]
415	109.0	163	10.0	2	2016-10-28	Fri	False	[20145]
255	43.0	153	2.0	2	2018-06-04	Mon	False	[28384]
2461	92.0	148	2.0	1	2016-11-16	Wed	False	[17688 18860 21752 21958 22298]
1537	109.0	148	2.0	2	2017-03-31	Fri	False	[20381]
780	153.0	201	2.0	2	2016-04-21	Thu	False	[13793 17969 19518]
803	131.0	91	2.0	2	2015-02-08	Sun	False	[3638 3873 4022 5706 6611 7886]
2403	92.0	26	2.0	2	2019-07-10	Wed	False	[42587]
